id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type,google_product_category
RS-003,"Body Burdeos Real","Body de encaje floral en burdeos, con escote profundo en V y tirantes regulables con herrajes dorados. Cintura marcada, corte alto en la cadera y borde festoneado. Envíos a todo el Perú.",out of stock,new,99.90 PEN,,https://reinascarlata.com/body-burdeos-real/,https://reinascarlata.com/assets/body-encaje-burdeos-real.jpg,Reina Scarlata,Bodys,"Apparel & Accessories > Clothing > Underwear & Socks > Lingerie"
RS-004,"Bralette Marfil Sueño","Bralette triangular sin aro en encaje marfil, con borde de pestaña festoneada y banda ancha de encaje. Tirantes finos regulables. Cómodo para el día a día. Envíos a todo el Perú.",out of stock,new,75.00 PEN,59.90 PEN,https://reinascarlata.com/bralette-marfil-sueno/,https://reinascarlata.com/assets/bralette-encaje-marfil-sueno.jpg,Reina Scarlata,Bralettes,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
RS-005,"Pijama Satén Champagne","Pijama de dos piezas en satén color champagne. Top de tirantes finos con escote en V y detalle de encaje, y short con pretina elástica y encaje en el ruedo. Envíos a todo el Perú.",out of stock,new,109.90 PEN,,https://reinascarlata.com/pijama-saten-champagne/,https://reinascarlata.com/assets/pijama-saten-champagne.jpg,Reina Scarlata,Pijamas,"Apparel & Accessories > Clothing > Sleepwear & Loungewear"
RS-007,"Conjunto Reina de Rosas","Conjunto de dos piezas: corset de tul con rosas bordadas en relieve y tanga a juego. Copas forradas en satén con aro, varillas que marcan la cintura y cierre de corchetes regulable en la espalda. Tallas S, M y L. Envíos a todo el Perú.",in stock,new,94.90 PEN,,https://reinascarlata.com/conjunto-reina-de-rosas/,https://reinascarlata.com/assets/conjunto-reina-de-rosas-1.jpg,Reina Scarlata,Conjuntos,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
RS-008,"Conjunto Buganvilla","Conjunto de dos piezas en encaje fucsia con bordado floral sobre malla transparente. Brasier con aro y copas de tul bordado, con tirantes dobles regulables, y tanga a juego con bordado al frente. Talla S. Envíos a todo el Perú.",in stock,new,79.90 PEN,,https://reinascarlata.com/conjunto-buganvilla/,https://reinascarlata.com/assets/conjunto-buganvilla-1.jpg,Reina Scarlata,Conjuntos,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
RS-009,"Conjunto Reina de Corazones","Conjunto de dos piezas en tul negro con corazones bordados. Brasier con aro y copas de tul bordado, tirantes de satén con lazos, y tanga de amarrar con cintas largas de satén a los costados. Tallas S, M y L. Envíos a todo el Perú.",in stock,new,72.90 PEN,,https://reinascarlata.com/conjunto-reina-de-corazones/,https://reinascarlata.com/assets/conjunto-reina-de-corazones-1.jpg,Reina Scarlata,Conjuntos,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
RS-010,"Conjunto Hortencia","Conjunto de dos piezas en tul menta con flores bordadas en relieve en lila, marfil y celeste. Brasier con aro, tirantes anchos cubiertos de flores y herrajes dorados, y tanga a juego. Tallas S, M, L y XL. Envíos a todo el Perú.",in stock,new,89.90 PEN,,https://reinascarlata.com/conjunto-hortencia/,https://reinascarlata.com/assets/conjunto-hortencia-1.jpg,Reina Scarlata,Conjuntos,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
RS-011,"Conjunto Azucena","Conjunto de dos piezas en tul nude con azucenas bordadas en relieve en blanco marfil. Brasier con aro y escote profundo en V, y tanga a juego con bandas anchas de tul en la cadera. Tallas S, M y L. Envíos a todo el Perú.",in stock,new,79.90 PEN,,https://reinascarlata.com/conjunto-azucena/,https://reinascarlata.com/assets/conjunto-azucena-1.jpg,Reina Scarlata,Conjuntos,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
RS-012,"Conjunto Jazmín Rosa","Conjunto de dos piezas en tul rosa transparente con florecitas bordadas en rosa y fucsia y hojas verdes. Brasier con aro y tirantes regulables, y tanga a juego con paneles de tul a los costados. Tallas S, M, L y XL. Envíos a todo el Perú.",in stock,new,69.90 PEN,,https://reinascarlata.com/conjunto-jazmin-rosa/,https://reinascarlata.com/assets/conjunto-jazmin-rosa-1.jpg,Reina Scarlata,Conjuntos,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
RS-013,"Conjunto Petunia","Conjunto de dos piezas en tul rosa transparente con petunias bordadas en relieve en degradado de rosa claro a fucsia. Brasier con aro, borde de encaje festoneado y lacito al centro, y tanga a juego con tirantes regulables en la cadera. Tallas S, M, L y XL. Envíos a todo el Perú.",in stock,new,89.90 PEN,,https://reinascarlata.com/conjunto-petunia/,https://reinascarlata.com/assets/conjunto-petunia-1.jpg,Reina Scarlata,Conjuntos,"Apparel & Accessories > Clothing > Underwear & Socks > Bras"
